address,date_added,description,phone,price,seller,title
"Scotland Lane, Horsforth, Leeds, LS18",Added on 28/05/2021,"A recently renovated and extended Grade II listed Georgian country house, privately situated in just under seven acres of beautifully maintained gardens and grounds.",01904 200057,"£3,500,000","Savills, York",8 bedroom detached house for sale
"Chapel Lane, Clifford ",,"Former St Edward's Presbytery and adjoining land with development potential, offered for sale as a whole or in individual lots. Lot 1: Fully Available An area of grazing land extending to approximately 1.15 hectares (2.83 acres) with potential for residential development subject to the...",0113 221 6019,POA,"Sanderson Weatherall, Leeds",Land for sale
"Crown House, Southgate, Huddersfield, West Yorkshire, HD1 6QR",,"Prominent location fronting Huddersfield Ring Road.
Close to town centre amenities including railway and bus stations.
Suitable for a variety of uses including hotel, student residential, residential (under PDR).
68 car parking spaces available.",01274 399035,POA,,Land for sale
"**LAND OPPORTUNITY, IN HEART OF HALIFAX*** Old Mill, Old Lane, Halifax, West Yorkshire, HX3",,"The fantastic land opportunity is offered for sale as freehold possession. The site is close to local amenities and transport links. Benefits include 8.23 acre site, formally planning granted for 120 residential units with a mix of 56 apartments located in former Mill and 64 brand new homes.",03339 874798,"£3,000,000","Sell New, St. Neots",Land for sale
"The Ginnel, Bardsey",Added on 07/04/2021,"An incredibly rare opportunity to be able to purchase two magnificent stone built period properties collectively sat on approximately 4 acres of land made up of extensive gardens, paddocks and orchard. In a stunning setting on the edge of the historic village of Bardsey directly overlooking the p...",01937 358002,"£3,000,000","Beadnall & Copley, Wetherby",Detached house for sale
"Park Lane, West Cowick, Goole, DN14",Added on 14/05/2021,"Truly unique opportunity to acquire a world class clay shooting ground with corporate venue and further planning consent to develop a unique, nature inspired, function barn together with 13 timber tipi’s extending in all to approximately 54.73 acres.",01423 429071,"£3,000,000","Carter Jonas Rural, Yorkshire",Property for sale
"Whinfield, Lords Moor Lane, Strensall, York. YO32 5XF",Added on 22/03/2021,"A SUBSTANTIAL AND EXTENSIVELY MODERNISED FAMILY HOME, IMMACULATELY PRESENTED WITH SWIMMING POOL AND LOCATED ON THE OUTSKIRTS OF YORK. SET IN APPROXIMATELY TWO ACRES OF GARDENS AND GROUNDS.",01904 200080,"£2,995,000","Croft, York",5 bedroom detached house for sale
"Dunford Road,
Hade Edge,
HD9",Added on 05/03/2021,"PLOT 24 - *SUPERIOR SPECIFICATION* The Stratton II - 5 bed detached home with INTEGRAL DOUBLE GARAGE, contemporary OPEN PLAN KITCHEN with FAMILY & DINING space, **LUXURY GARDEN ROOM** WITH BI-FOLD DOORS, spacious living room, modern bathroom & 2 EN SUITES. *STUNNING RURAL LOCATION*",01484 977057,"£549,995",Jones Homes,5 bedroom detached house for sale
"Burringham Road, Scunthorpe",,"** LINCOLNSHIRE LAKES, SCUNTHORPE, NORTH LINCOLNSHIRE - PHASE 1 - EAST VILLAGE ** SUPERB DEVELOPMENT OPPORTUNITY ** FIRST RELEASE OF EXCITING AND PRESTIGE LAKESIDE PROJECT ** IDEAL FOR NATIONAL/LOCAL BUILDERS ** Without a doubt a truly outstanding and unique opportunity to be part of two very des...",01724 646101,POA,"Paul Fox, Scunthorpe",Land for sale
The Palace Studios,Added on 12/09/2020," Palace Studios represents one of the most exciting investment opportunities in the north of England to date. With its prime location situated in the heart one of the country’s largest towns, this development is guaranteed to attract huge interest. Huddersfield University currently ha...",03301 332472,"£12,583,000","Fleming & Co (Estates) Ltd, Huddersfield",127 bedroom apartment for sale
"Sheriff Hutton Park Estate, Sheriff Hutton, York, YO60",Added on 04/12/2020,Important Grade I Listed Country House in Historic Parkland Setting.,01904 200057,"£10,000,000","Savills, York",Detached house for sale
"Cuthbert Road, Sheffield",Added on 11/01/2021,"Tyron Ash Real Estate present this incredible apartment complex for sale as a full purchase, including the freehold. This is one of the fastest developing areas in Sheffield and represents a great opportunity to buy before its too late! The development, named Bamford Point is an exclusive develop...",03333 050656,POA,"Tyron Ash Real Estate, Mayfair",45 bedroom block of apartments for sale
"Raisdale Estate, Chop Gate, North Yorkshire, TS9",Added on 22/04/2021,"A beautifully situated mixed residential, sporting, forestry and farming estate within an accessible yet unspoilt position within the North York Moors National Park",01904 200057,"£5,000,000","Savills, York",Detached house for sale
"Crosby, Northallerton, North Yorkshire, DL6",Added on 17/05/2021,"An impressive estate with a fine Grade II listed country house at its heart and far-reaching views, close to excellent communications. Crosby Court is an impressive period Grade II listed house dating from the mid to late 18th century and 19th century. It is set in an elevated position with far-...",01423 429050,"£4,950,000","Knight Frank, Harrogate",8 bedroom detached house for sale
"Hill Top Lane, Pannal, Harrogate, HG3",Added on 24/05/2021,"Monks Folly Ground Floor Entrance Hall, Study, Open plan living / dining kitchen , dining room, sitting room, snug, ensuite bedroom, utility room, wine store, downstairs w.c. and cloakroom. First Floor: Master suite with dressing room and ensuite bathroom,...",020 8012 2565,"£4,750,000","Sotheby's International Realty, London",6 bedroom detached house for sale
"Monks Folly, Hill Top Lane, Pannal, Harrogate. North Yorkshire. HG3 1PA",Added on 07/05/2021,"AN EXCEPTIONAL AND UNIQUE COUNTRY HOUSE WITH INCREDIBLE VIEWS, 50 ACRES OF PASTURE LAND, TWO ADDITIONAL PROPERTIES, A BEAUTIFUL BARN PRIME FOR CONVERSION AND LOCATED ON POPULAR SOUTH SIDE OF HARROGATE.",01904 200080,"£4,750,000","Croft, York",6 bedroom detached house for sale
"Hill Top Lane, Pannal, North Yorkshire",Added on 25/11/2020,"An exceptional and unique country house with incredible views 50 acres of pasture land, two additional properties a beautiful barn prime for conversion and located on popular south side of Harrogate . Monks Folly is the principal house and filled with an abundance of character and charm which i...",01423 429025,"£4,750,000","Hopkinsons, Harrogate",6 bedroom detached house for sale
"Octavia House, Beech Grove, Harrogate, HG2 0EX",Added on 27/04/2021,A SUPERB HOME IN AN UNBEATABLE LOCATION PROVIDING EXCELLENT ACCOMMODATION AND WITH PLANNING PERMISSION TO CONVERT INTO APARTMENTS IF DESIRED,01904 200080,POA,"Croft, York",7 bedroom detached house for sale
"Land, Manchester Road, Marsden, Huddersfield, Yorkshire, HD7 6LY",,"Guide Price £4,000,000 For sale by public auction on 15/06/2021 . Circa 25 Acres of freehold land. Planning permission has been granted for significant residential development. Cellars Clough, Marsden HD7 6LY Planning Ref 2016/62/91573/W (Kirklees Council) There is future scope for furth...",01202 066461,"£4,000,000","Connect-UK, Auctions - Crawley",Land for sale
"Bronte Business Park, Thornton Road, Bradford, West Yorkshire, BD13 3NW",,"Planning permission for development of up to 250 dwellings.
Semi rural setting.
Close to Thornton centre and all amenities.",01274 399035,POA,,Land for sale
"The Manor, Manor House Lane, Alwoodley, Leeds, West Yorkshire",Added on 02/09/2019,"The Manor is 'One of Leeds Finest' homes standing in private landscaped gardens adjoining Alwoodley Golf Course in this exclusive North Leeds residential area. This outstanding family home provides over 10,200 sq ft of accommodation and has exquisitely fitted bespoke interiors. ",0113 451 3240,"£3,950,000","Fine & Country Manning Stainton, Leeds",7 bedroom detached house for sale
"Northgate Mount, Honley, Holmfirth",Added on 08/10/2020,A TRULY MAJESTIC SUBSTANTIAL PERIOD HOME SET IN APPROXIMATELY 6 ACRES APPROACHED OVER A LONG DRIVEWAY WITH GATEHOUSE LODGE AND HAVING AN INTERESTING HISTORY WITH ROYAL CONNECTIONS. THERE ARE NOT MANY HOMES WHERE THE KING AND QUEEN COME FOR TEA. IN 1912 WILLIAM AND GERTRUDE BROOKE WERE GRACED WITH...,01484 977034,"£3,750,000","Simon Blyth, Holmfirth",8 bedroom detached house for sale
"Beech House, Scotland Lane, Horsforth, Leeds, LS18 5HH",Added on 28/05/2021,"An exquisite Grade II listed country house, beautifully presented and interior designed providing superb accommodation and set in 7 acres of glorious gardens and grounds.",01904 200080,"£3,500,000","Croft, York",8 bedroom detached house for sale
"Hurst Lane, Auckley, Doncaster, South Yorkshire, DN9",,"A substantial residential development opportunity subject to planning, comprising a designated brownfield site extending to approximately 34 acres and in an extremely sustainable location. The site extends to approximately 34.24 acres and offers an excellent opportunity to create a phasable hous...",0113 451 0398,POA,"Knight Frank, Leeds - Commercial",Land for sale
"Martin Grange Farm, Martin Grange Lane, Bawtry, Doncaster, South Yorkshire, DN10 6DD",Added on 17/03/2020,"A rare opportunity to acquire a unique property standing in open countryside, complete with superbly restored 6 bedroom house, a detached staff cottage and excellent equestrian facilities including extensive stabling standing in excess of 35 acres in all. Planning permission has been granted f...",01302 960055,POA,"Fine & Country, Bawtry",6 bedroom country house for sale
"Scotland Lane, Horsforth, Leeds, LS18",Added on 28/05/2021,"A recently renovated and extended Grade II listed Georgian country house, privately situated in just under seven acres of beautifully maintained gardens and grounds.",01904 200057,"£3,500,000","Savills, York",8 bedroom detached house for sale
"Chapel Lane, Clifford ",,"Former St Edward's Presbytery and adjoining land with development potential, offered for sale as a whole or in individual lots. Lot 1: Fully Available An area of grazing land extending to approximately 1.15 hectares (2.83 acres) with potential for residential development subject to the...",0113 221 6019,POA,"Sanderson Weatherall, Leeds",Land for sale
"Crown House, Southgate, Huddersfield, West Yorkshire, HD1 6QR",,"Prominent location fronting Huddersfield Ring Road.
Close to town centre amenities including railway and bus stations.
Suitable for a variety of uses including hotel, student residential, residential (under PDR).
68 car parking spaces available.",01274 399035,POA,,Land for sale
"**LAND OPPORTUNITY, IN HEART OF HALIFAX*** Old Mill, Old Lane, Halifax, West Yorkshire, HX3",,"The fantastic land opportunity is offered for sale as freehold possession. The site is close to local amenities and transport links. Benefits include 8.23 acre site, formally planning granted for 120 residential units with a mix of 56 apartments located in former Mill and 64 brand new homes.",03339 874798,"£3,000,000","Sell New, St. Neots",Land for sale
"The Ginnel, Bardsey",Added on 07/04/2021,"An incredibly rare opportunity to be able to purchase two magnificent stone built period properties collectively sat on approximately 4 acres of land made up of extensive gardens, paddocks and orchard. In a stunning setting on the edge of the historic village of Bardsey directly overlooking the p...",01937 358002,"£3,000,000","Beadnall & Copley, Wetherby",Detached house for sale
"Park Lane, West Cowick, Goole, DN14",Added on 14/05/2021,"Truly unique opportunity to acquire a world class clay shooting ground with corporate venue and further planning consent to develop a unique, nature inspired, function barn together with 13 timber tipi’s extending in all to approximately 54.73 acres.",01423 429071,"£3,000,000","Carter Jonas Rural, Yorkshire",Property for sale
"Whinfield, Lords Moor Lane, Strensall, York. YO32 5XF",Added on 22/03/2021,"A SUBSTANTIAL AND EXTENSIVELY MODERNISED FAMILY HOME, IMMACULATELY PRESENTED WITH SWIMMING POOL AND LOCATED ON THE OUTSKIRTS OF YORK. SET IN APPROXIMATELY TWO ACRES OF GARDENS AND GROUNDS.",01904 200080,"£2,995,000","Croft, York",5 bedroom detached house for sale
"Moorfields, Raskelf",Added on 28/04/2021,"This impressive 4 bedroom detached village property providing over 1,300 sq ft of beautifully presented living accommodation to include a 21’10” long sitting room with wood burning stove, stunning garden room, superbly appointed 25’5” long dining kitchen, utility room and cloakroom/wc, principal...",01347 973003,"£389,995","Stephensons, Easingwold",4 bedroom detached house for sale
"Lords Moor Lane, Strensall, York, YO32",Added on 21/05/2021,"Whinfield has been vastly extended and upgraded by its current owners into a modern family home over the last ten years. The property still has its original features in the older part of the house blending brilliantly into the 21st century aspects such as the huge kitchen area, swimming pool and ...",020 8012 2565,"£2,995,000","Sotheby's International Realty, London",5 bedroom detached house for sale
"Lords Moor Lane, Strensall, York, YO32",Added on 07/08/2020,Striking family home and extensive gardens,01904 200057,"£2,995,000","Savills, York",5 bedroom detached house for sale
"Sandmoor Avenue, Alwoodley, Leeds, West Yorkshire",Added on 11/05/2021,A magnificent individual detached family home revealing beautifully presented accommodation of great quality and charm. Set in glorious generous and private gardens in this most exclusive and sought-after suburb of Alwoodley.,0113 451 3240,"£2,950,000","Fine & Country Manning Stainton, Leeds",7 bedroom detached house for sale
"Kirkstyles, Lower Cumberworth, Huddersfield",Added on 30/11/2020,"A BEAUTIFULLY LOCATED RURAL HOME WITH AN EXCEPTIONAL SETTING BEING STOOD IN APPROXIMATELY TWENTY-ONE ACRES OF BEAUTIFUL GARDENS, GROUNDS, FIELDS, PARKLAND AND WOODLAND. APPROACHED OVER A LONG DRIVE THIS DELIGHTFUL SUBSTANTIAL PERIOD HOME HAS AN ARRAY OF OUTBUILDINGS INCLUDING GARAGING, STUDIO, GU...",01484 977034,"£2,900,000","Simon Blyth, Holmfirth",6 bedroom detached house for sale
"Holderness House, Stray Towers, Harrogate, North Yorkshire, HG2",Added on 21/05/2021,"NEW - A quite remarkable property providing comprehensively and painstakingly restored accommodation of exceptional quality, forming the principal part of this grand villa, enjoying superb views across The Stray and situated within a stone's throw of central Harrogate.",01423 429100,POA,"Carter Jonas, Harrogate",4 bedroom property for sale
"Stonesfield House, Pannal, Near Harrogate, North Yorkshire, HG3",Added on 19/04/2021,"An exceptional detached country property providing superb family accommodation, beautifully positioned amidst gardens and grounds extending to about 6.5 acres, occupying a lovely private setting in a highly sought after position on the southern fringe of Harrogate.",01423 429100,"£2,750,000","Carter Jonas, Harrogate",5 bedroom detached house for sale
"Hillings Lane, Menston, Ilkley, West Yorkshire, LS29",Reduced on 23/03/2021,"A spectacular 'Grand Designs' modern home close to Ilkley town centre. Reservoir House is a spectacular 'Grand Designs' home on the edge of Ilkely Moor. Offering an incredible amount of glass and natural light, this fabulous contemporary home was built in the former Hawksworth Moor Reservoir. T...",01423 429050,"£2,750,000","Knight Frank, Harrogate",6 bedroom detached house for sale
"Aislaby, Pickering, North Yorkshire, YO18",Reduced on 28/08/2020,"Magnificent Georgian country home with excellent ancillary accommodation, formal gardens and land. One of the outstanding Georgian houses in the region, Aislaby Hall was built in 1742 in the Classical style. The stone quoins, symmetrical facade, enormous sash windows, plaster work and grand room...",01423 429050,"£2,750,000","Knight Frank, Harrogate",10 bedroom detached house for sale
"Holderness House, Stray Towers,  Harrogate HG2 0LJ",Added on 21/05/2021,Holderness House is the result of a comprehensive and painstaking restoration forming the principal part of an historic grand villa dating back to the mid 19th Century located on the edge of the iconic Stray. The restoration has been architecturally designed and restored by a team of master cr...,01423 429033,POA,"Buchanan Mitchell Ltd, North Yorkshire",4 bedroom character property for sale
Princes Avenue,Added on 28/05/2021,"A unique opportunity to purchase a turn key, high yielding investment property. Let & fully managed by MyPad, generating a gross income of 8%. Past accounts available and the option to purchase the property in the company (SPV) or as a property purchase. Five, large terraced Victorian pr...",01482 750050,"£2,600,000","MyPad, Hull",48 bedroom property for sale
"Woodthorpe Lane, Wakefield, West Yorkshire, WF2",Added on 04/05/2021,A truly exceptional and luxuriously appointed family residence including a stunning indoor leisure complex with swimming pool and gymnasium set within private south facing mature walled gardens of approximately 1¼ acres adjacent to Wakefield golf course.,01423 429100,"£2,600,000","Carter Jonas, Harrogate",5 bedroom detached house for sale
"The Grove, Marton",Added on 13/07/2020," This is a rare and exciting opportunity to purchase an outstanding development of 15 Luxury 2 bedroom apartments set on a substantial size secluded plot. Tucked away at the end of one of Teesside's most distinguished addresses and hidden behind mature tree lined communal gardens, allowing the...",01642 268091,"£2,600,000","Clarke Munro, Middlesbrough",30 bedroom block of apartments for sale
"Tudor Lodge, Ling Lane, Scarcroft, Leeds, West Yorkshire",Added on 11/05/2021,"Having been lovingly cared for and maintained by the present owners for a number of years, this is a rare opportunity to acquire an imposing and impressive five bedroom detached family home extending to over 7,600 sq ft.",0113 451 3240,"£2,549,000","Fine & Country Manning Stainton, Leeds",5 bedroom detached house for sale
"High Street, Gilling West, Richmond, North Yorkshire, DL10",Reduced on 08/10/2020,A conveniently located edge of award winning village recently modernised Grade II listed family home presented to the highest of standards in beautiful formal gardens. Gilling Lodge is a beautiful Georgian country house sitting on the edge of a pretty award-winning village near to the historic G...,020 8012 3483,"£2,500,000","Knight Frank, Country Department",6 bedroom detached house for sale
"Layton Road, Horsforth",Added on 04/05/2021,"A FINE PRIVATE RESIDENCE OF GRANDE PROPORTIONS & SUPERB QUALITY THROUGHOUT. Set within a large gated estate, which extends to approx 1.4 acres, with QUADRUPLE GARAGE, SPACE TO LAND A HELICOPTER & FABULOUSLY TENDED FORMAL GARDENS, further paddock land available by separate negotiation. Recent 42ft...",0113 451 3077,"£2,500,000","Hardisty Prestige, Horsforth",5 bedroom detached house for sale
"Farrer Lane, Oulton, Leeds, West Yorkshire",Added on 26/04/2021,Fine & Country are pleased to offer to market this outstanding and unique property set on the highly prestigious Farrer Lane.,0113 451 3240,"£2,500,000","Fine & Country Manning Stainton, Leeds",6 bedroom detached house for sale
"High Street, Burniston, North Yorkshire, YO13 0HH",,"Residential Development Opportunity, 4 miles north of Scarborough.",0113 451 3057,POA,,Land for sale
"Potential Residential Development Site, Burringham Road, Scunthorpe",,*SUPERB POTENTIAL RESIDENTIAL DEVELOPMENT SITE * 16 ACRES APPROX. * OUTSTANDING OPPORTUNITY FOR NATIONAL/LOCAL BUILDERS* Large 6.5 hectare site (approx.) which forms part of the new and exciting Lincolnshire Lakes Action Plan - a proposed garden City on the south western outskirts of the town to ...,01724 646101,POA,"Paul Fox, Scunthorpe",Land for sale
"Galtres House, 11 Rawcliffe Lane, York. YO30 6NP",Added on 06/05/2021,A GORGEOUS ?ARTS AND CRAFTS? FAMILY HOME SET IN 1.5 ACRES OF SOUTH FACING PRIVATE GARDENS AND GROUNDS AND WITHIN WALKING DISTANCE OF YORK CITY CENTRE.,01904 200080,"£2,500,000","Croft, York",7 bedroom detached house for sale
"Stumperlowe Crescent Road, S10",Added on 22/05/2021,"An exquisite, contemporary detached residence located on a generous 0.6-acre, south-facing, plot in the heart of S10. Providing over 8000 sq. ft of luxurious accommodation to include a cinema, games room, gym and subterranean garage, Redbrik is excited to present a unique opportunity to create th...",0114 467 0304,POA,"Redbrik, Sheffield New Homes",5 bedroom detached house for sale
"Low Worsall, Yarm, Cleveland, TS15",Added on 28/04/2021,"A substantial Victorian manor house, significantly extended and much improved, standing in about five and a half acres of mature gardens and grounds.",01904 200057,"£2,450,000","Savills, York",6 bedroom detached house for sale
"Alton Hall, Timothy Lane, West Yorkshire",Reduced on 17/05/2021,"Fine and Country Homes are delighted to offer to the market for sale Alton Hall, a magnificent six bedroom property with approximately 11,927 Sq. ft. of accommodation space, built in 2001 to create a sumptuous residence ideal for an executive buyer or large family alike. Occupying ...",01924 767153,"£2,375,000","Fine & Country Manning Stainton, Wakefield",6 bedroom detached house for sale
"Burley Woodhead, Ilkley West Yorkshire",Added on 08/05/2021,"Taking full advantage of its rural yet convenient location, a wonderfully situated detached country house with panoramic views over Wharfedale, sitting in 38 acres, with outbuildings having planning permission for 3 detached dwellings. For Sale As A Whole.",01423 429064,"£2,350,000","Lister Haigh, Harrogate",5 bedroom farm house for sale
"Halifax Road, Edgerton, Huddersfield",Reduced on 02/01/2020,"Banney Royd Hall is probably the most important Arts and Crafts house in the North of England and presents a rare opportunity to purchase a Grade I Listed Hall, recognised as being one of the most important private residences of its era by renowned Architect, Edgar Wood.",01484 977006,"£2,300,000","Yorkshire's Finest, Huddersfield",8 bedroom manor house for sale
"Burnt Stones Close, Sandygate, S10 5TS",Added on 28/05/2021,"** LARGE PLOT ** Offered to market with offers invited in excess of £699,950 is this delightful detached family home which offers endless potential for further development and extensions (STPP). Situated in this sought after cul-de-sac position, in the popular residential area of Sandygate, this...",0114 467 0263,"£699,950","Saxton Mee, Crookes",4 bedroom detached house for sale
"West Ella Road, West Ella, Hull, East Yorkshire, HU10",Added on 08/09/2020,"UNDOUBTEDLY THE BEST SPECIFICATION SEEN BY THE AGENT IN HIS 40 YEARS. THIS PROPERTY HAS IT ALL; LOCATION, SPACE, STYLE AND SPECIFICATION SET IN BEAUTIFULLY LANDSCAPED GROUNDS",01482 750198,"£2,200,000","Beercocks as Fine & Country, Willerby",4 bedroom detached house for sale
"Hanlith, Kirkby Malham, Skipton, North Yorkshire, BD23",Added on 05/07/2018,"A beautifully positioned country house of generous proportions, taking full advantage of it's delightful setting in the Yorkshire Dales National Park. Five/six bedroom main house with four reception rooms, and integral indoor swimming pool. Two secondary dwellings. A large studio/potential apartm...",01943 678307,"£2,150,000","Dacre Son & Hartley, Ilkley",5 bedroom detached house for sale
"One Oak, Tarn Lane, Wike / Alwoodley, Leeds, West Yorkshire",Added on 10/04/2021,One Oak is an outstanding residence set in an impressive plot of approximately three acres with breath-taking views overlooking open countryside. Planning permission has been granted to convert the existing outbuilding into a spacious two bedroom dwelling which would be perfect for dependent rela...,0113 451 3240,"£2,100,000","Fine & Country Manning Stainton, Leeds",5 bedroom detached house for sale
"Stoney Haggs Rise, Scarborough",Added on 27/04/2021,"A grand example of luxurious coastal living at its finest; this property offers breath-taking views of Oliver's Mount and beyond. A cleverly designed space using an abundance of glazing allowing maximum light throughout, the property is a showcase in technology with state of the art appliances an...",01904 200118,"£2,100,000","Fine & Country, York",4 bedroom detached house for sale
"Morning Field Estate, Thorpe Audlin, Pontefract",Added on 03/12/2020,**MORNING FIELD ESTATE**Every once in a while something comes onto the market which quite simply blows everyone away – and this luxurious collection of three properties in the beautiful rural village of Thorpe Audlin most certainly falls into this category. Morning Field Estate offers a un...,01977 325011,"£2,000,000","Enfields Luxe, Pontefract",14 bedroom equestrian facility for sale
"Rawcliffe Grove, York",Added on 21/05/2021,"Exceptional detached family home providing almost 4,000 square feet of exquisitely appointed living space, with stunning private gardens and plentiful parking close to the city. Rawcliffe Grove is a small collection of exclusively detached houses around 1 mile from the city and railway s...",01904 200004,"£2,000,000","Prime Residential, York",5 bedroom house for sale
"Sands Lane, Holme Upon Spalding Moor",,"4.82 Acres (1.95 Hectares) Development Opportunity at Sands Lane, Holme On Spalding Moor with the benefit of Planning Permission.",01430 843003,POA,"Clubleys, Market Weighton",Land for sale
